prefix,vendor,source,confidence,alt_sources,alt_vendors
001BD3,Panasonic Corporation AVC Networks Company,ieee,1.0,"wireshark,nmap",PanasonicAVC | Panasonic AVC Networks Company
001BD4,"Cisco Systems, Inc",ieee,1.0,"wireshark,nmap",Cisco | Cisco Systems
001BD5,"Cisco Systems, Inc",ieee,1.0,"wireshark,nmap",Cisco | Cisco Systems
001BD6,Kelvin Hughes Ltd,ieee,1.0,"wireshark,nmap",KelvinHughes | Kelvin Hughes
001BD7,Cisco SPVTG,ieee,1.0,"wireshark,nmap",CiscoSPVTG | Cisco Spvtg
001BD8,FLIR Systems Inc,ieee,1.0,"wireshark,nmap",FLIR | Flir Systems
001BD9,Edgewater Wireless Systems Inc,ieee,1.0,"wireshark,nmap",EdgewaterWir | Edgewater Wireless Systems
001BDA,UTStarcom Inc,ieee,1.0,"wireshark,nmap",UTStarcom | UTStarcom
001BDB,Valeo VECS,ieee,1.0,"wireshark,nmap",ValeoVECS | Valeo Vecs
001BDC,"Vencer Co., Ltd.",ieee,1.0,"wireshark,nmap",Vencer | Vencer
001BDD,Commscope,ieee,1.0,"wireshark,nmap",Commscope | Commscope
001BDE,"Renkus-Heinz, Inc.",ieee,1.0,"wireshark,nmap",RenkusHeinz | Renkus-Heinz
001BDF,Iskra Sistemi d.d.,ieee,1.0,"wireshark,nmap",IskraSistemi | Iskra Sistemi d.d.
001BE0,TELENOT ELECTRONIC GmbH,ieee,1.0,"wireshark,nmap",TELENOTELECT | Telenot Electronic GmbH
001BE1,ViaLogy,ieee,1.0,"wireshark,nmap",ViaLogy | ViaLogy
001BE2,"AhnLab,Inc.",ieee,1.0,"wireshark,nmap",AhnLab | AhnLab
001BE3,"Health Hero Network, Inc.",ieee,1.0,"wireshark,nmap",HealthHeroNe | Health Hero Network
001BE4,TOWNET SRL,ieee,1.0,"wireshark,nmap",Townet | Townet SRL
001BE5,802automation Limited,ieee,1.0,"wireshark,nmap",802automatio | 802automation Limited
001BE6,VR AG,ieee,1.0,"wireshark,nmap",Vr | VR AG
001BE7,"Postek Electronics Co., Ltd.",ieee,1.0,"wireshark,nmap",PostekElectr | Postek Electronics
001BE8,Ultratronik GmbH,ieee,1.0,"wireshark,nmap",Ultratronik | Ultratronik GmbH
001BE9,Broadcom,ieee,1.0,"wireshark,nmap",Broadcom | Broadcom
001BEA,"Nintendo Co., Ltd.",ieee,1.0,"wireshark,nmap",Nintendo | Nintendo
001BEB,DMP Electronics INC.,ieee,1.0,"wireshark,nmap",DMPElectroni | DMP Electronics
001BEC,"Netio Technologies Co., Ltd",ieee,1.0,"wireshark,nmap",NetioTechnol | Netio Technologies
001BED,Brocade Communications Systems LLC,ieee,1.0,"wireshark,nmap",BrocadeCommu | Brocade Communications Systems
001BEE,Nokia Danmark A/S,ieee,1.0,"wireshark,nmap",NokiaDanmark | Nokia Danmark A/S
001BEF,"Blossoms Digital Technology Co.,Ltd.",ieee,1.0,"wireshark,nmap",BlossomsDigi | Blossoms Digital Technology
001BF0,Value Platforms Limited,ieee,1.0,"wireshark,nmap",ValuePlatfor | Value Platforms Limited
001BF1,"Nanjing SilverNet Software Co., Ltd.",ieee,1.0,"wireshark,nmap",NanjingSilve | Nanjing SilverNet Software
001BF2,"KWORLD COMPUTER CO., LTD",ieee,1.0,"wireshark,nmap",KworldComput | Kworld Computer
001BF3,TRANSRADIO SenderSysteme Berlin AG,ieee,1.0,"wireshark,nmap",TRANSRADIOSe | Transradio SenderSysteme Berlin AG
001BF4,KENWIN INDUSTRIAL(HK) LTD.,ieee,1.0,"wireshark,nmap",KenwinIndust | Kenwin Industrial(HK)
001BF5,Tellink Sistemas de Telecomunicación S.L.,ieee,1.0,"wireshark,nmap",TellinkSiste | Tellink Sistemas de Telecomunicación S.L.
001BF6,CONWISE Technology Corporation Ltd.,ieee,1.0,"wireshark,nmap",CONWISETechn | Conwise Technology
001BF7,Lund IP Products AB,ieee,1.0,"wireshark,nmap",LundIPProduc | Lund IP Products AB
001BF8,Digitrax Inc.,ieee,1.0,"wireshark,nmap",Digitrax | Digitrax
001BF9,Intellitect Water Ltd,ieee,1.0,"wireshark,nmap",IntellitectW | Intellitect Water
001BFA,G.i.N. mbH,ieee,1.0,"wireshark,nmap",GiNmbH | G.i.N. mbH
001BFB,"ALPSALPINE CO,.LTD",ieee,1.0,"wireshark,nmap",Alpsalpine | Alpsalpine
001BFC,ASUSTek COMPUTER INC.,ieee,1.0,"wireshark,nmap",ASUSTekCOMPU | ASUSTek Computer
001BFD,Dignsys Inc.,ieee,1.0,"wireshark,nmap",Dignsys | Dignsys
001BFE,Zavio Inc.,ieee,1.0,"wireshark,nmap",Zavio | Zavio
001BFF,Millennia Media inc.,ieee,1.0,"wireshark,nmap",MillenniaMed | Millennia Media
001C00,"Entry Point, LLC",ieee,1.0,"wireshark,nmap",EntryPoint | Entry Point
001C01,ABB Oy Drives,ieee,1.0,"wireshark,nmap",ABBDrives | ABB Oy Drives
001C02,Pano Logic,ieee,1.0,"wireshark,nmap",PanoLogic | Pano Logic
001C03,Betty TV Technology AG,ieee,1.0,"wireshark,nmap",BettyTVTechn | Betty TV Technology AG
001C04,"Airgain, Inc.",ieee,1.0,"wireshark,nmap",Airgain | Airgain
001C05,Nonin Medical Inc.,ieee,1.0,"wireshark,nmap",NoninMedical | Nonin Medical
001C06,"Siemens Numerical Control Ltd., Nanjing",ieee,1.0,"wireshark,nmap","SiemensNumer | Siemens Numerical Control, Nanjing"
001C07,Cwlinux Limited,ieee,1.0,"wireshark,nmap",Cwlinux | Cwlinux Limited
001C08,"Echo360, Inc.",ieee,1.0,"wireshark,nmap",Echo360 | Echo360
001C09,"SAE Electronic Co.,Ltd.",ieee,1.0,"wireshark,nmap",SAEElectroni | SAE Electronic
001C0A,"Shenzhen AEE Technology Co.,Ltd.",ieee,1.0,"wireshark,nmap",AEETechnolog | Shenzhen AEE Technology
001C0B,SmartAnt Telecom,ieee,1.0,"wireshark,nmap",SmartAntTele | SmartAnt Telecom
001C0C,TANITA Corporation,ieee,1.0,"wireshark,nmap",TANITA | Tanita
001C0D,"G-Technology, Inc.",ieee,1.0,"wireshark,nmap",GTechnology | G-Technology
001C0E,"Cisco Systems, Inc",ieee,1.0,"wireshark,nmap",Cisco | Cisco Systems
001C0F,"Cisco Systems, Inc",ieee,1.0,"wireshark,nmap",Cisco | Cisco Systems
001C10,"Cisco-Linksys, LLC",ieee,1.0,"wireshark,nmap",CiscoLinksys | Cisco-Linksys
001C11,Commscope,ieee,1.0,"wireshark,nmap",Commscope | Commscope
001C12,Commscope,ieee,1.0,"wireshark,nmap",Commscope | Commscope
001C13,"OPTSYS TECHNOLOGY CO., LTD.",ieee,1.0,"wireshark,nmap",OptsysTechno | Optsys Technology
001C14,"VMware, Inc.",ieee,1.0,"wireshark,nmap",VMware | VMware
001C15,iPhotonix LLC,ieee,1.0,"wireshark,nmap",iPhotonix | iPhotonix
001C16,ThyssenKrupp Elevator,ieee,1.0,"wireshark,nmap",ThyssenKrupp | ThyssenKrupp Elevator
001C17,Nortel Networks,ieee,1.0,"wireshark,nmap",NortelNetwor | Nortel Networks
001C18,Sicert S.r.L.,ieee,1.0,"wireshark,nmap",Sicert | Sicert S.r.L.
001C19,secunet Security Networks AG,ieee,1.0,"wireshark,nmap",secunetSecur | secunet Security Networks AG
001C1A,"Thomas Instrumentation, Inc",ieee,1.0,"wireshark,nmap",ThomasInstru | Thomas Instrumentation
001C1B,Hyperstone GmbH,ieee,1.0,"wireshark,nmap",Hyperstone | Hyperstone GmbH
001C1C,Center Communication Systems GmbH,ieee,1.0,"wireshark,nmap",CenterCommun | Center Communication Systems GmbH
001C1D,"CHENZHOU GOSPELL DIGITAL TECHNOLOGY CO.,LTD",ieee,1.0,"wireshark,nmap",ChenzhouGosp | Chenzhou Gospell Digital Technology
001C1E,emtrion GmbH,ieee,1.0,"wireshark,nmap",emtrion | emtrion GmbH
001C1F,Quest Retail Technology Pty Ltd,ieee,1.0,"wireshark,nmap",QuestRetailT | Quest Retail Technology
001C20,CLB Benelux,ieee,1.0,"wireshark,nmap",CLBBenelux | CLB Benelux
001C21,Nucsafe Inc.,ieee,1.0,"wireshark,nmap",Nucsafe | Nucsafe
001C22,Aeris Elettronica s.r.l.,ieee,1.0,"wireshark,nmap",AerisElettro | Aeris Elettronica s.r.l.
001C23,Dell Inc.,ieee,1.0,"wireshark,nmap",Dell | Dell
001C24,Formosa Wireless Systems Corp.,ieee,1.0,"wireshark,nmap",FormosaWirel | Formosa Wireless Systems
001C25,"Hon Hai Precision Ind. Co.,Ltd.",ieee,1.0,"wireshark,nmap",HonHaiPrecis | Hon Hai Precision Ind.
001C26,"Hon Hai Precision Ind. Co.,Ltd.",ieee,1.0,"wireshark,nmap",HonHaiPrecis | Hon Hai Precision Ind.
001C27,Sunell Electronics Co.,ieee,1.0,"wireshark,nmap",SunellElectr | Sunell Electronics
001C28,Sphairon Technologies GmbH,ieee,1.0,"wireshark,nmap",SphaironTech | Sphairon Technologies GmbH
001C29,"CORE DIGITAL ELECTRONICS CO., LTD",ieee,1.0,"wireshark,nmap",CoreDigitalE | Core Digital Electronics
001C2A,Envisacor Technologies Inc.,ieee,1.0,"wireshark,nmap",EnvisacorTec | Envisacor Technologies
001C2B,Hive,ieee,1.0,"wireshark,nmap",Hive | Hive
001C2C,Synapse,ieee,1.0,"wireshark,nmap",Synapse | Synapse
001C2D,FlexRadio Systems,ieee,1.0,"wireshark,nmap",FlexRadio | FlexRadio Systems
001C2E,HPN Supply Chain,ieee,1.0,"wireshark,nmap",HPNSupplyCha | HPN Supply Chain
001C2F,Pfister GmbH,ieee,1.0,"wireshark,nmap",Pfister | Pfister GmbH
001C30,Mode Lighting (UK ) Ltd.,ieee,1.0,"wireshark,nmap",ModeLighting | Mode Lighting (UK )
001C31,"Mobile XP Technology Co., LTD",ieee,1.0,"wireshark,nmap",MobileXPTech | Mobile XP Technology
001C32,Telian Corporation,ieee,1.0,"wireshark,nmap",Telian | Telian
001C33,Sutron,ieee,1.0,"wireshark,nmap",Sutron | Sutron
001C34,"HUEY CHIAO INTERNATIONAL CO., LTD.",ieee,1.0,"wireshark,nmap",HueyChiaoInt | Huey Chiao International
001C35,Nokia Danmark A/S,ieee,1.0,"wireshark,nmap",NokiaDanmark | Nokia Danmark A/S
001C36,iNEWiT NV,ieee,1.0,"wireshark,nmap",iNEWiT | iNEWiT NV
001C37,"Callpod, Inc.",ieee,1.0,"wireshark,nmap",Callpod | Callpod
001C38,"Bio-Rad Laboratories, Inc.",ieee,1.0,"wireshark,nmap",BioRadLabora | Bio-Rad Laboratories
001C39,S Netsystems Inc.,ieee,1.0,"wireshark,nmap",SNetsystems | S Netsystems
001C3A,"Element Labs, Inc.",ieee,1.0,"wireshark,nmap",ElementLabs | Element Labs
001C3B,AmRoad Technology Inc.,ieee,1.0,"wireshark,nmap",AmRoadTechno | AmRoad Technology
001C3C,Seon Design Inc.,ieee,1.0,"wireshark,nmap",SeonDesign | Seon Design
001C3D,WaveStorm,ieee,1.0,"wireshark,nmap",WaveStorm | WaveStorm
001C3E,ECKey Corporation,ieee,1.0,"wireshark,nmap",ECKey | ECKey
001C3F,"International Police Technologies, Inc.",ieee,1.0,"wireshark,nmap",Internationa | International Police Technologies
001C40,VDG-Security bv,ieee,1.0,"wireshark,nmap",VDGSecurity | VDG-Security bv
001C41,scemtec Transponder Technology GmbH,ieee,1.0,"wireshark,nmap",scemtecTrans | scemtec Transponder Technology GmbH
001C42,"Parallels, Inc.",ieee,1.0,"wireshark,nmap",Parallels | Parallels
001C43,"Samsung Electronics Co.,Ltd",ieee,1.0,"wireshark,nmap",SamsungElect | Samsung Electronics
001C44,Electro Voice Dynacord BV,ieee,1.0,"wireshark,nmap",ElectroVoice | Electro Voice Dynacord BV
001C45,"Chenbro Micom Co., Ltd.",ieee,1.0,"wireshark,nmap",ChenbroMicom | Chenbro Micom
001C46,QTUM,ieee,1.0,"wireshark,nmap",Qtum | Qtum
001C47,"Hangzhou Hollysys Automation Co., Ltd",ieee,1.0,"wireshark,nmap",HollysysAuto | Hangzhou Hollysys Automation
001C48,"WiDeFi, Inc.",ieee,1.0,"wireshark,nmap",WiDeFi | WiDeFi
001C49,Zoltan Technology Inc.,ieee,1.0,"wireshark,nmap",ZoltanTechno | Zoltan Technology
001C4A,AVM GmbH,ieee,1.0,"wireshark,nmap",AVM | AVM GmbH
001C4B,"Gener8, Inc.",ieee,1.0,"wireshark,nmap",Gener8 | Gener8
001C4C,Petrotest Instruments,ieee,1.0,"wireshark,nmap",PetrotestIns | Petrotest Instruments
001C4D,Aplix IP Holdings Corporation,ieee,1.0,"wireshark,nmap",AplixIPHoldi | Aplix IP Holdings
001C4E,TASA International Limited,ieee,1.0,"wireshark,nmap",TASAInternat | Tasa International Limited
001C4F,MACAB AB,ieee,1.0,"wireshark,nmap",Macab | Macab AB
001C50,"TCL Technoly Electronics (Huizhou) Co., Ltd.",ieee,1.0,"wireshark,nmap",TCLTechnolyE | TCL Technoly Electronics (Huizhou)
001C51,Celeno Communications,ieee,1.0,"wireshark,nmap",CelenoCommun | Celeno Communications
001C52,VISIONEE SRL,ieee,1.0,"wireshark,nmap",Visionee | Visionee SRL
001C53,Synergy Lighting Controls,ieee,1.0,"wireshark,nmap",SynergyLight | Synergy Lighting Controls
001C54,Hillstone Networks Inc,ieee,1.0,"wireshark,nmap",HillstoneNet | Hillstone Networks
001C55,Shenzhen Kaifa Technology Co.,ieee,1.0,"wireshark,nmap",KaifaTechnol | Shenzhen Kaifa Technology
001C56,"Pado Systems, Inc.",ieee,1.0,"wireshark,nmap",Pado | Pado Systems
